Interaction:  A_\rho_102(X)  A_\sigma_316(X)  to  e_alpha_139(X)  AntiPart e_beta_43(X)^(*) : Vertex V_0:A(X_2), e(X_3), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_4),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\mu_87*gamma_{+%\mu_87,%gam_187,%gam_188}*gamma_{%\sigma_175,%gam_150,%gam_187}*gamma_{%\sigma_177,%gam_188,%del_144}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_144}(p_4)_v*e_{i_7,%gam_150}(p_3)_u^(*) + (-2)*p_3_%\sigma_175*gamma_{%\sigma_177,%gam_158,%del_149}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_149}(p_4)_v*e_{i_7,%gam_158}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_15445(X)  AntiPart A_\sigma_15764(X)  to  c_del_13057(X)  AntiPart c_eps_5398(X)^(*) : Vertex V_0:A(X_2), c(X_3), AntiPart  OffShell c(V_0), Vertex V_1:A(X_1), AntiPart c(X_4),  OffShell c(V_1), : -2/9*i*e^2*(p_2_%\mu_9660*gamma_{+%\mu_9660,%eta_17435,%eta_17436}*gamma_{%\rho_11617,%eta_17400,%eta_17435}*gamma_{%\sigma_15735,%eta_17436,%eps_5371}*A_{l_3337,+%\rho_11617}(p_2)*A_{k_3337,+%\sigma_15735}(p_1)*c_{j_3339,%eps_5371}(p_4)_v*c_{i_3339,%eta_17400}(p_3)_u^(*) + (-2)*p_3_%\rho_11617*gamma_{%\sigma_15735,%eta_17406,%eps_5374}*A_{l_3337,+%\rho_11617}(p_2)*A_{k_3337,+%\sigma_15735}(p_1)*c_{j_3339,%eps_5374}(p_4)_v*c_{i_3339,%eta_17406}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_c^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_15445(X)  AntiPart A_\sigma_15764(X)  to  AntiPart c_beta_4337(X)^(*)  c_gam_22111(X) : Vertex V_0:A(X_2), c(X_4), AntiPart  OffShell c(V_0), Vertex V_1:A(X_1), AntiPart c(X_3),  OffShell c(V_1), : -2/9*i*e^2*(p_2_%\sigma_15896*gamma_{%\sigma_15892,%gam_22053,%beta_4284}*gamma_{%\sigma_15894,%gam_22025,%gam_22052}*gamma_{+%\sigma_15896,%gam_22052,%gam_22053}*A_{l_3367,+%\sigma_15894}(p_2)*A_{k_3367,+%\sigma_15892}(p_1)*c_{i_3369,%beta_4284}(p_3)_v*c_{j_3369,%gam_22025}(p_4)_u^(*) + (-2)*p_4_%\sigma_15894*gamma_{%\sigma_15892,%gam_22031,%beta_4287}*A_{l_3367,+%\sigma_15894}(p_2)*A_{k_3367,+%\sigma_15892}(p_1)*c_{i_3369,%beta_4287}(p_3)_v*c_{j_3369,%gam_22031}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_c^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_15445(X)  AntiPart A_\sigma_15764(X)  to  AntiPart c_beta_4337(X)^(*)  c_gam_22111(X) : Vertex V_1:A(X_2), AntiPart c(X_3),  OffShell c(V_1), Vertex V_0:A(X_1), c(X_4), AntiPart  OffShell c(V_0), : 2/9*i*e^2*(p_2_%\rho_11774*gamma_{+%\rho_11774,%gam_22102,%gam_22103}*gamma_{%\sigma_15954,%gam_22069,%gam_22102}*gamma_{%\sigma_15956,%gam_22103,%beta_4316}*A_{l_3367,+%\sigma_15956}(p_2)*A_{k_3367,+%\sigma_15954}(p_1)*c_{i_3369,%beta_4316}(p_3)_v*c_{j_3369,%gam_22069}(p_4)_u^(*) + (-2)*p_3_%\sigma_15956*gamma_{%\sigma_15954,%gam_22075,%beta_4319}*A_{l_3367,+%\sigma_15956}(p_2)*A_{k_3367,+%\sigma_15954}(p_1)*c_{i_3369,%beta_4319}(p_3)_v*c_{j_3369,%gam_22075}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_c^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_11473(X)  A_\tau_12425(X)  to  b_gam_22655(X)  AntiPart b_del_13371(X)^(*) : Vertex V_1:A(X_2), AntiPart b(X_4),  OffShell b(V_1), Vertex V_0:A(X_1), b(X_3), AntiPart  OffShell b(V_0), : 1/18*i*e^2*(p_2_%\rho_12054*gamma_{+%\rho_12054,%gam_22592,%gam_22593}*gamma_{%\tau_12338,%gam_22559,%gam_22592}*gamma_{%\tau_12340,%gam_22593,%del_13311}*A_{k_3465,+%\tau_12338}(p_1)*A_{l_3465,+%\tau_12340}(p_2)*b_{j_3467,%del_13311}(p_4)_v*b_{i_3467,%gam_22559}(p_3)_u^(*) + (-2)*p_4_%\tau_12340*gamma_{%\tau_12338,%gam_22565,%del_13314}*A_{k_3465,+%\tau_12338}(p_1)*A_{l_3465,+%\tau_12340}(p_2)*b_{j_3467,%del_13314}(p_4)_v*b_{i_3467,%gam_22565}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_b^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_11473(X)  A_\tau_12425(X)  to  b_gam_22655(X)  AntiPart b_del_13371(X)^(*) : Vertex V_0:A(X_2), b(X_3), AntiPart  OffShell b(V_0), Vertex V_1:A(X_1), AntiPart b(X_4),  OffShell b(V_1), : -1/18*i*e^2*(p_2_%\nu_11658*gamma_{+%\nu_11658,%gam_22652,%gam_22653}*gamma_{%\tau_12381,%gam_22613,%gam_22652}*gamma_{%\tau_12383,%gam_22653,%del_13344}*A_{k_3465,+%\tau_12383}(p_1)*A_{l_3465,+%\tau_12381}(p_2)*b_{j_3467,%del_13344}(p_4)_v*b_{i_3467,%gam_22613}(p_3)_u^(*) + (-2)*p_3_%\tau_12381*gamma_{%\tau_12383,%gam_22619,%del_13347}*A_{k_3465,+%\tau_12383}(p_1)*A_{l_3465,+%\tau_12381}(p_2)*b_{j_3467,%del_13347}(p_4)_v*b_{i_3467,%gam_22619}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_b^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_11473(X)  A_\tau_12425(X)  to  AntiPart b_alpha_8981(X)^(*)  b_beta_4591(X) : Vertex V_1:A(X_2), b(X_4), AntiPart  OffShell b(V_1), Vertex V_0:A(X_1), AntiPart b(X_3),  OffShell b(V_0), : -1/18*i*e^2*(p_2_%\nu_11742*gamma_{+%\nu_11742,%gam_23109,%gam_23110}*gamma_{%\tau_12682,%gam_23110,%del_13641}*gamma_{%\tau_12684,%gam_23084,%gam_23109}*A_{l_3495,+%\tau_12684}(p_2)*A_{k_3495,+%\tau_12682}(p_1)*b_{j_3497,%gam_23084}(p_4)_u^(*)*b_{i_3497,%del_13641}(p_3)_v + (-2)*p_4_%\tau_12684*gamma_{%\tau_12682,%gam_23092,%del_13646}*A_{l_3495,+%\tau_12684}(p_2)*A_{k_3495,+%\tau_12682}(p_1)*b_{j_3497,%gam_23092}(p_4)_u^(*)*b_{i_3497,%del_13646}(p_3)_v)/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_b^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_11473(X)  A_\tau_12425(X)  to  AntiPart b_alpha_8981(X)^(*)  b_beta_4591(X) : Vertex V_0:A(X_2), AntiPart b(X_3),  OffShell b(V_0), Vertex V_1:A(X_1), b(X_4), AntiPart  OffShell b(V_1), : 1/18*i*e^2*(p_2_%\mu_10062*gamma_{+%\mu_10062,%gam_23160,%gam_23161}*gamma_{%\tau_12730,%gam_23161,%del_13675}*gamma_{%\tau_12732,%gam_23131,%gam_23160}*A_{l_3495,+%\tau_12730}(p_2)*A_{k_3495,+%\tau_12732}(p_1)*b_{j_3497,%gam_23131}(p_4)_u^(*)*b_{i_3497,%del_13675}(p_3)_v + (-2)*p_3_%\tau_12730*gamma_{%\tau_12732,%gam_23137,%del_13678}*A_{l_3495,+%\tau_12730}(p_2)*A_{k_3495,+%\tau_12732}(p_1)*b_{j_3497,%gam_23137}(p_4)_u^(*)*b_{i_3497,%del_13678}(p_3)_v)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_b^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_11473(X)  AntiPart A_\lambda_11630(X)  to  b_eta_18080(X)  AntiPart b_alpha_9053(X)^(*) : Vertex V_1:A(X_2), AntiPart b(X_4),  OffShell b(V_1), Vertex V_0:A(X_1), b(X_3), AntiPart  OffShell b(V_0), : 1/18*i*e^2*(p_2_%\rho_12230*gamma_{+%\rho_12230,%gam_23593,%gam_23594}*gamma_{%\tau_13052,%gam_23562,%gam_23593}*gamma_{%\tau_13054,%gam_23594,%del_13942}*A_{k_3529,+%\tau_13052}(p_1)*A_{l_3529,+%\tau_13054}(p_2)*b_{j_3531,%del_13942}(p_4)_v*b_{i_3531,%gam_23562}(p_3)_u^(*) + (-2)*p_4_%\tau_13054*gamma_{%\tau_13052,%gam_23570,%del_13945}*A_{k_3529,+%\tau_13052}(p_1)*A_{l_3529,+%\tau_13054}(p_2)*b_{j_3531,%del_13945}(p_4)_v*b_{i_3531,%gam_23570}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_b^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_11473(X)  AntiPart A_\lambda_11630(X)  to  b_eta_18080(X)  AntiPart b_alpha_9053(X)^(*) : Vertex V_0:A(X_2), b(X_3), AntiPart  OffShell b(V_0), Vertex V_1:A(X_1), AntiPart b(X_4),  OffShell b(V_1), : -1/18*i*e^2*(p_2_%\nu_11858*gamma_{+%\nu_11858,%gam_23648,%gam_23649}*gamma_{%\tau_13095,%gam_23613,%gam_23648}*gamma_{%\tau_13097,%gam_23649,%del_13970}*A_{k_3529,+%\tau_13097}(p_1)*A_{l_3529,+%\tau_13095}(p_2)*b_{j_3531,%del_13970}(p_4)_v*b_{i_3531,%gam_23613}(p_3)_u^(*) + (-2)*p_3_%\tau_13095*gamma_{%\tau_13097,%gam_23619,%del_13975}*A_{k_3529,+%\tau_13097}(p_1)*A_{l_3529,+%\tau_13095}(p_2)*b_{j_3531,%del_13975}(p_4)_v*b_{i_3531,%gam_23619}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_b^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_11473(X)  AntiPart A_\lambda_11630(X)  to  AntiPart b_del_14319(X)^(*)  b_eps_5784(X) : Vertex V_1:A(X_2), AntiPart b(X_3),  OffShell b(V_1), Vertex V_0:A(X_1), b(X_4), AntiPart  OffShell b(V_0), : 1/18*i*e^2*(p_2_%\lambda_11682*gamma_{+%\lambda_11682,%gam_24101,%gam_24102}*gamma_{%\tau_13398,%gam_24072,%gam_24101}*gamma_{%\tau_13400,%gam_24102,%del_14259}*A_{l_3559,+%\tau_13400}(p_2)*A_{k_3559,+%\tau_13398}(p_1)*b_{i_3561,%del_14259}(p_3)_v*b_{j_3561,%gam_24072}(p_4)_u^(*) + (-2)*p_3_%\tau_13400*gamma_{%\tau_13398,%gam_24078,%del_14262}*A_{l_3559,+%\tau_13400}(p_2)*A_{k_3559,+%\tau_13398}(p_1)*b_{i_3561,%del_14262}(p_3)_v*b_{j_3561,%gam_24078}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_b^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_11473(X)  AntiPart A_\lambda_11630(X)  to  AntiPart b_del_14319(X)^(*)  b_eps_5784(X) : Vertex V_0:A(X_2), b(X_4), AntiPart  OffShell b(V_0), Vertex V_1:A(X_1), AntiPart b(X_3),  OffShell b(V_1), : -1/18*i*e^2*(p_2_%\sigma_16667*gamma_{+%\sigma_16667,%gam_24158,%gam_24159}*gamma_{%\tau_13434,%gam_24121,%gam_24158}*gamma_{%\tau_13436,%gam_24159,%del_14292}*A_{l_3559,+%\tau_13434}(p_2)*A_{k_3559,+%\tau_13436}(p_1)*b_{i_3561,%del_14292}(p_3)_v*b_{j_3561,%gam_24121}(p_4)_u^(*) + (-2)*p_4_%\tau_13434*gamma_{%\tau_13436,%gam_24129,%del_14295}*A_{l_3559,+%\tau_13434}(p_2)*A_{k_3559,+%\tau_13436}(p_1)*b_{i_3561,%del_14295}(p_3)_v*b_{j_3561,%gam_24129}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_b^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_16776(X)  A_\lambda_11851(X)  to  b_eps_5854(X)  AntiPart b_eta_18312(X)^(*) : Vertex V_1:A(X_2), b(X_3), AntiPart  OffShell b(V_1), Vertex V_0:A(X_1), AntiPart b(X_4),  OffShell b(V_0), : -1/18*i*e^2*(p_2_%\nu_12005*gamma_{+%\nu_12005,%gam_24607,%gam_24608}*gamma_{%\tau_13745,%gam_24608,%eta_18249}*gamma_{%\tau_13747,%gam_24584,%gam_24607}*A_{k_3593,+%\tau_13745}(p_1)*A_{l_3593,+%\tau_13747}(p_2)*b_{j_3595,%eta_18249}(p_4)_v*b_{i_3595,%gam_24584}(p_3)_u^(*) + (-2)*p_3_%\tau_13747*gamma_{%\tau_13745,%gam_24590,%eta_18252}*A_{k_3593,+%\tau_13745}(p_1)*A_{l_3593,+%\tau_13747}(p_2)*b_{j_3595,%eta_18252}(p_4)_v*b_{i_3595,%gam_24590}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_b^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_16776(X)  A_\lambda_11851(X)  to  b_eps_5854(X)  AntiPart b_eta_18312(X)^(*) : Vertex V_0:A(X_2), AntiPart b(X_4),  OffShell b(V_0), Vertex V_1:A(X_1), b(X_3), AntiPart  OffShell b(V_1), : 1/18*i*e^2*(p_2_%\mu_10283*gamma_{+%\mu_10283,%gam_24660,%gam_24661}*gamma_{%\tau_13788,%gam_24661,%eta_18282}*gamma_{%\tau_13790,%gam_24629,%gam_24660}*A_{k_3593,+%\tau_13790}(p_1)*A_{l_3593,+%\tau_13788}(p_2)*b_{j_3595,%eta_18282}(p_4)_v*b_{i_3595,%gam_24629}(p_3)_u^(*) + (-2)*p_4_%\tau_13788*gamma_{%\tau_13790,%gam_24637,%eta_18285}*A_{k_3593,+%\tau_13790}(p_1)*A_{l_3593,+%\tau_13788}(p_2)*b_{j_3595,%eta_18285}(p_4)_v*b_{i_3595,%gam_24637}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_b^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_16776(X)  A_\lambda_11851(X)  to  AntiPart b_eps_5974(X)^(*)  b_eta_18514(X) : Vertex V_1:A(X_2), b(X_4), AntiPart  OffShell b(V_1), Vertex V_0:A(X_1), AntiPart b(X_3),  OffShell b(V_0), : -1/18*i*e^2*(p_2_%\mu_10367*gamma_{+%\mu_10367,%gam_25095,%gam_25096}*gamma_{%\tau_14090,%gam_25096,%eps_5911}*gamma_{%\tau_14092,%gam_25072,%gam_25095}*A_{k_3623,+%\tau_14090}(p_1)*A_{l_3623,+%\tau_14092}(p_2)*b_{j_3625,%gam_25072}(p_4)_u^(*)*b_{i_3625,%eps_5911}(p_3)_v + (-2)*p_4_%\tau_14092*gamma_{%\tau_14090,%gam_25078,%eps_5914}*A_{k_3623,+%\tau_14090}(p_1)*A_{l_3623,+%\tau_14092}(p_2)*b_{j_3625,%gam_25078}(p_4)_u^(*)*b_{i_3625,%eps_5914}(p_3)_v)/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_b^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_16776(X)  A_\lambda_11851(X)  to  AntiPart b_eps_5974(X)^(*)  b_eta_18514(X) : Vertex V_0:A(X_2), AntiPart b(X_3),  OffShell b(V_0), Vertex V_1:A(X_1), b(X_4), AntiPart  OffShell b(V_1), : 1/18*i*e^2*(p_2_%\tau_14134*gamma_{%\tau_14130,%gam_25149,%eps_5944}*gamma_{%\tau_14132,%gam_25117,%gam_25148}*gamma_{+%\tau_14134,%gam_25148,%gam_25149}*A_{k_3623,+%\tau_14132}(p_1)*A_{l_3623,+%\tau_14130}(p_2)*b_{j_3625,%gam_25117}(p_4)_u^(*)*b_{i_3625,%eps_5944}(p_3)_v + (-2)*p_3_%\tau_14130*gamma_{%\tau_14132,%gam_25125,%eps_5947}*A_{k_3623,+%\tau_14132}(p_1)*A_{l_3623,+%\tau_14130}(p_2)*b_{j_3625,%gam_25125}(p_4)_u^(*)*b_{i_3625,%eps_5947}(p_3)_v)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_b^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_16776(X)  AntiPart A_\sigma_16930(X)  to  b_beta_4823(X)  AntiPart b_gam_25709(X)^(*) : Vertex V_1:A(X_2), AntiPart b(X_4),  OffShell b(V_1), Vertex V_0:A(X_1), b(X_3), AntiPart  OffShell b(V_0), : 1/18*i*e^2*(p_2_%\nu_12183*gamma_{+%\nu_12183,%gam_25616,%gam_25617}*gamma_{%\tau_14489,%gam_25567,%gam_25616}*gamma_{%\tau_14491,%gam_25617,%gam_25568}*A_{k_3657,+%\tau_14489}(p_1)*A_{l_3657,+%\tau_14491}(p_2)*b_{i_3659,%gam_25567}(p_3)_u^(*)*b_{j_3659,%gam_25568}(p_4)_v + (-2)*p_4_%\tau_14491*gamma_{%\tau_14489,%gam_25576,%gam_25577}*A_{k_3657,+%\tau_14489}(p_1)*A_{l_3657,+%\tau_14491}(p_2)*b_{i_3659,%gam_25576}(p_3)_u^(*)*b_{j_3659,%gam_25577}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_b^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_16776(X)  AntiPart A_\sigma_16930(X)  to  b_beta_4823(X)  AntiPart b_gam_25709(X)^(*) : Vertex V_0:A(X_2), b(X_3), AntiPart  OffShell b(V_0), Vertex V_1:A(X_1), AntiPart b(X_4),  OffShell b(V_1), : -1/18*i*e^2*(p_2_%\mu_10483*gamma_{+%\mu_10483,%gam_25706,%gam_25707}*gamma_{%\tau_14532,%gam_25645,%gam_25706}*gamma_{%\tau_14534,%gam_25707,%gam_25646}*A_{k_3657,+%\tau_14534}(p_1)*A_{l_3657,+%\tau_14532}(p_2)*b_{i_3659,%gam_25645}(p_3)_u^(*)*b_{j_3659,%gam_25646}(p_4)_v + (-2)*p_3_%\tau_14532*gamma_{%\tau_14534,%gam_25654,%gam_25655}*A_{k_3657,+%\tau_14534}(p_1)*A_{l_3657,+%\tau_14532}(p_2)*b_{i_3659,%gam_25654}(p_3)_u^(*)*b_{j_3659,%gam_25655}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_b^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_16776(X)  AntiPart A_\sigma_16930(X)  to  AntiPart b_del_15061(X)^(*)  b_eps_6206(X) : Vertex V_1:A(X_2), AntiPart b(X_3),  OffShell b(V_1), Vertex V_0:A(X_1), b(X_4), AntiPart  OffShell b(V_0), : 1/18*i*e^2*(p_2_%\sigma_16981*gamma_{+%\sigma_16981,%gam_26285,%gam_26286}*gamma_{%\tau_14828,%gam_26256,%gam_26285}*gamma_{%\tau_14830,%gam_26286,%del_15001}*A_{k_3687,+%\tau_14828}(p_1)*A_{l_3687,+%\tau_14830}(p_2)*b_{i_3689,%del_15001}(p_3)_v*b_{j_3689,%gam_26256}(p_4)_u^(*) + (-2)*p_3_%\tau_14830*gamma_{%\tau_14828,%gam_26262,%del_15004}*A_{k_3687,+%\tau_14828}(p_1)*A_{l_3687,+%\tau_14830}(p_2)*b_{i_3689,%del_15004}(p_3)_v*b_{j_3689,%gam_26262}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_b^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_16776(X)  AntiPart A_\sigma_16930(X)  to  AntiPart b_del_15061(X)^(*)  b_eps_6206(X) : Vertex V_0:A(X_2), b(X_4), AntiPart  OffShell b(V_0), Vertex V_1:A(X_1), AntiPart b(X_3),  OffShell b(V_1), : -1/18*i*e^2*(p_2_%\rho_12583*gamma_{+%\rho_12583,%gam_26342,%gam_26343}*gamma_{%\tau_14871,%gam_26305,%gam_26342}*gamma_{%\tau_14873,%gam_26343,%del_15034}*A_{k_3687,+%\tau_14873}(p_1)*A_{l_3687,+%\tau_14871}(p_2)*b_{i_3689,%del_15034}(p_3)_v*b_{j_3689,%gam_26305}(p_4)_u^(*) + (-2)*p_4_%\tau_14871*gamma_{%\tau_14873,%gam_26313,%del_15037}*A_{k_3687,+%\tau_14873}(p_1)*A_{l_3687,+%\tau_14871}(p_2)*b_{i_3689,%del_15037}(p_3)_v*b_{j_3689,%gam_26313}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_b^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_b^2*(m_b^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
